additional_relative_req|var_pop|agegroup|closest_relative_group|n_agegroup|closest_relative_group_n|has_control_closest_rel_prop
no|bd_08#inc_2016_2021|65+|no_relative|924|152|
no|bd_08#inc_2016_2021|65+|partner|924|365|0.99
no|bd_08#inc_2016_2021|65+|pooled|924|772|0.99
no|bd_08#inc_2016_2021|65+|sibling|924|33|0.96
no|bd_08#prev_2021|0-24|father|103684|83499|1
no|bd_08#prev_2021|0-24|mother|103684|87349|1
no|bd_08#prev_2021|0-24|no_relative|103684|5636|
no|bd_08#prev_2021|25-64|child|82932|8242|0.99
no|bd_08#prev_2021|25-64|no_relative|82932|1528|
no|bd_08#prev_2021|25-64|parent|82932|30210|0.99
no|bd_08#prev_2021|25-64|partner|82932|27512|0.99
no|bd_08#prev_2021|25-64|pooled|82932|81404|0.98
no|bd_08#prev_2021|25-64|sibling|82932|15440|0.91
no|bd_08#prev_2021|65+|child|2222|717|1
no|bd_08#prev_2021|65+|no_relative|2222|504|
no|bd_08#prev_2021|65+|partner|2222|838|0.99
no|bd_08#prev_2021|65+|pooled|2222|1718|0.99
no|bd_08#prev_2021|65+|sibling|2222|163|0.94
no|bd_09#inc_2016_2021|0-24|father|8650|6647|1
no|bd_09#inc_2016_2021|0-24|mother|8650|7631|1
no|bd_09#inc_2016_2021|0-24|no_relative|8650|543|
no|bd_09#inc_2016_2021|25-64|child|9851|1344|0.99
no|bd_09#inc_2016_2021|25-64|no_relative|9851|575|
no|bd_09#inc_2016_2021|25-64|parent|9851|3356|0.99
no|bd_09#inc_2016_2021|25-64|partner|9851|2293|0.99
no|bd_09#inc_2016_2021|25-64|pooled|9851|9276|0.97
no|bd_09#inc_2016_2021|25-64|sibling|9851|2283|0.91
no|bd_09#inc_2016_2021|65+|child|1112|514|1
no|bd_09#inc_2016_2021|65+|no_relative|1112|154|
no|bd_09#inc_2016_2021|65+|partner|1112|399|1
no|bd_09#inc_2016_2021|65+|pooled|1112|958|0.99
no|bd_09#inc_2016_2021|65+|sibling|1112|45|0.8
no|bd_09#prev_2021|0-24|father|7149|5459|1
no|bd_09#prev_2021|0-24|mother|7149|6326|1
no|bd_09#prev_2021|0-24|no_relative|7149|415|
no|bd_09#prev_2021|25-64|child|43933|6761|0.99
no|bd_09#prev_2021|25-64|no_relative|43933|1620|
no|bd_09#prev_2021|25-64|parent|43933|14574|0.99
no|bd_09#prev_2021|25-64|partner|43933|10461|0.99
no|bd_09#prev_2021|25-64|pooled|43933|42313|0.97
no|bd_09#prev_2021|25-64|sibling|43933|10517|0.92
no|bd_09#prev_2021|65+|child|4067|1914|1
no|bd_09#prev_2021|65+|no_relative|4067|667|
no|bd_09#prev_2021|65+|partner|4067|1153|0.98
no|bd_09#prev_2021|65+|pooled|4067|3400|0.98
no|bd_09#prev_2021|65+|sibling|4067|333|0.9
no|bd_10#inc_2016_2021|0-24|father|5098|4481|1
no|bd_10#inc_2016_2021|0-24|mother|5098|4686|1
no|bd_10#inc_2016_2021|0-24|no_relative|5098|205|
no|bd_10#inc_2016_2021|25-64|child|1372|134|1
no|bd_10#inc_2016_2021|25-64|no_relative|1372|60|
no|bd_10#inc_2016_2021|25-64|parent|1372|432|1
no|bd_10#inc_2016_2021|25-64|partner|1372|513|0.98
no|bd_10#inc_2016_2021|25-64|pooled|1372|1312|0.98
no|bd_10#inc_2016_2021|25-64|sibling|1372|233|0.91
no|bd_10#inc_2016_2021|65+|child|25||
no|bd_10#inc_2016_2021|65+|no_relative|25||
no|bd_10#inc_2016_2021|65+|partner|25||
no|bd_10#inc_2016_2021|65+|pooled|25||
no|bd_10#inc_2016_2021|65+|sibling|25||
no|bd_10#prev_2021|0-24|father|5748|5073|1
no|bd_10#prev_2021|0-24|mother|5748|5324|1
no|bd_10#prev_2021|0-24|no_relative|5748|202|
no|bd_10#prev_2021|25-64|child|11904|1223|1
no|bd_10#prev_2021|25-64|no_relative|11904|126|
no|bd_10#prev_2021|25-64|parent|11904|3029|0.99
no|bd_10#prev_2021|25-64|partner|11904|5929|0.99
no|bd_10#prev_2021|25-64|pooled|11904|11778|0.98
no|bd_10#prev_2021|25-64|sibling|11904|1597|0.9
no|bd_10#prev_2021|65+|child|128|57|1
no|bd_10#prev_2021|65+|no_relative|128|21|
no|bd_10#prev_2021|65+|partner|128|37|1
no|bd_10#prev_2021|65+|pooled|128|107|0.99
no|bd_10#prev_2021|65+|sibling|128|13|0.92
no|bd_11#inc_2016_2021|0-24|father|6420|4919|1
no|bd_11#inc_2016_2021|0-24|mother|6420|5113|1
no|bd_11#inc_2016_2021|0-24|no_relative|6420|843|
no|bd_11#inc_2016_2021|25-64|child|7007|1073|0.99
no|bd_11#inc_2016_2021|25-64|no_relative|7007|423|
no|bd_11#inc_2016_2021|25-64|parent|7007|1016|0.99
no|bd_11#inc_2016_2021|25-64|partner|7007|3407|0.99
no|bd_11#inc_2016_2021|25-64|pooled|7007|6584|0.99
no|bd_11#inc_2016_2021|25-64|sibling|7007|1088|0.97
no|bd_11#inc_2016_2021|65+|child|8357|3100|1
no|bd_11#inc_2016_2021|65+|no_relative|8357|1006|
no|bd_11#inc_2016_2021|65+|partner|8357|4113|0.99
no|bd_11#inc_2016_2021|65+|pooled|8357|7351|0.99
no|bd_11#inc_2016_2021|65+|sibling|8357|138|0.79
no|bd_11#prev_2021|0-24|father|16102|13765|1
no|bd_11#prev_2021|0-24|mother|16102|14300|1
no|bd_11#prev_2021|0-24|no_relative|16102|679|
no|bd_11#prev_2021|25-64|child|34324|3909|0.99
no|bd_11#prev_2021|25-64|no_relative|34324|958|
no|bd_11#prev_2021|25-64|parent|34324|7954|0.99
no|bd_11#prev_2021|25-64|partner|34324|15519|0.99
no|bd_11#prev_2021|25-64|pooled|34324|33366|0.98
no|bd_11#prev_2021|25-64|sibling|34324|5984|0.95
no|bd_11#prev_2021|65+|child|17254|5944|1
no|bd_11#prev_2021|65+|no_relative|17254|2155|
no|bd_11#prev_2021|65+|partner|17254|8527|0.99
no|bd_11#prev_2021|65+|pooled|17254|15099|0.99
no|bd_11#prev_2021|65+|sibling|17254|628|0.88
no|bd_12#inc_2016_2021|0-24|father|30324|24075|1
no|bd_12#inc_2016_2021|0-24|mother|30324|19926|1
no|bd_12#inc_2016_2021|0-24|no_relative|30324|2852|
no|bd_12#inc_2016_2021|25-64|child|72494|10968|0.99
no|bd_12#inc_2016_2021|25-64|no_relative|72494|2413|
no|bd_12#inc_2016_2021|25-64|parent|72494|10337|0.99
no|bd_12#inc_2016_2021|25-64|partner|72494|42432|0.99
no|bd_12#inc_2016_2021|25-64|pooled|72494|70081|0.99
no|bd_12#inc_2016_2021|25-64|sibling|72494|6344|0.98
no|bd_12#inc_2016_2021|65+|child|7395|2623|1
no|bd_12#inc_2016_2021|65+|no_relative|7395|670|
no|bd_12#inc_2016_2021|65+|partner|7395|3972|0.99
no|bd_12#inc_2016_2021|65+|pooled|7395|6725|0.99
no|bd_12#inc_2016_2021|65+|sibling|7395|130|0.88
no|bd_12#prev_2021|0-24|father|34797|27689|1
no|bd_12#prev_2021|0-24|mother|34797|22382|1
no|bd_12#prev_2021|0-24|no_relative|34797|3059|
no|bd_12#prev_2021|25-64|child|302175|51252|0.99
no|bd_12#prev_2021|25-64|no_relative|302175|5355|
no|bd_12#prev_2021|25-64|parent|302175|38453|0.99
no|bd_12#prev_2021|25-64|partner|302175|181066|0.99
no|bd_12#prev_2021|25-64|pooled|302175|296820|0.99
no|bd_12#prev_2021|25-64|sibling|302175|26049|0.98
no|bd_12#prev_2021|65+|child|94824|31591|1
no|bd_12#prev_2021|65+|no_relative|94824|8983|
no|bd_12#prev_2021|65+|partner|94824|51758|0.99
no|bd_12#prev_2021|65+|pooled|94824|85841|0.99
no|bd_12#prev_2021|65+|sibling|94824|2492|0.89
no|bd_13#inc_2016_2021|0-24|father|1817|1147|1
no|bd_13#inc_2016_2021|0-24|mother|1817|1241|1
no|bd_13#inc_2016_2021|0-24|no_relative|1817|512|
no|bd_13#inc_2016_2021|25-64|child|3353|453|1
no|bd_13#inc_2016_2021|25-64|no_relative|3353|118|
no|bd_13#inc_2016_2021|25-64|parent|3353|438|0.99
no|bd_13#inc_2016_2021|25-64|partner|3353|1961|0.99
no|bd_13#inc_2016_2021|25-64|pooled|3353|3235|0.99
no|bd_13#inc_2016_2021|25-64|sibling|3353|383|0.96
no|bd_13#inc_2016_2021|65+|child|2092|849|1
no|bd_13#inc_2016_2021|65+|no_relative|2092|208|
no|bd_13#inc_2016_2021|65+|partner|2092|994|0.99
no|bd_13#inc_2016_2021|65+|pooled|2092|1884|0.99
no|bd_13#inc_2016_2021|65+|sibling|2092|41|0.85
no|bd_13#prev_2021|0-24|father|4871|4194|1
no|bd_13#prev_2021|0-24|mother|4871|4420|1
no|bd_13#prev_2021|0-24|no_relative|4871|172|
no|bd_13#prev_2021|25-64|child|9295|1201|0.99
no|bd_13#prev_2021|25-64|no_relative|9295|148|
no|bd_13#prev_2021|25-64|parent|9295|1408|0.99
no|bd_13#prev_2021|25-64|partner|9295|5604|0.99
no|bd_13#prev_2021|25-64|pooled|9295|9147|0.98
no|bd_13#prev_2021|25-64|sibling|9295|934|0.95
no|bd_13#prev_2021|65+|child|3825|1257|1
no|bd_13#prev_2021|65+|no_relative|3825|323|
no|bd_13#prev_2021|65+|partner|3825|2155|0.99
no|bd_13#prev_2021|65+|pooled|3825|3502|0.99
no|bd_13#prev_2021|65+|sibling|3825|90|0.86
no|bd_14#inc_2016_2021|0-24|father|5074|4174|1
no|bd_14#inc_2016_2021|0-24|mother|5074|4411|1
no|bd_14#inc_2016_2021|0-24|no_relative|5074|357|
no|bd_14#inc_2016_2021|25-64|child|2140|104|0.98
no|bd_14#inc_2016_2021|25-64|no_relative|2140|152|
no|bd_14#inc_2016_2021|25-64|parent|2140|878|1
no|bd_14#inc_2016_2021|25-64|partner|2140|320|1
no|bd_14#inc_2016_2021|25-64|pooled|2140|1988|0.97
no|bd_14#inc_2016_2021|25-64|sibling|2140|686|0.93
no|bd_14#inc_2016_2021|65+|child|378|32|1
no|bd_14#inc_2016_2021|65+|no_relative|378|283|
no|bd_14#inc_2016_2021|65+|partner|378|32|1
no|bd_14#inc_2016_2021|65+|pooled|378|95|0.93
no|bd_14#inc_2016_2021|65+|sibling|378|31|0.8
no|bd_14#prev_2021|0-24|father|13152|11137|1
no|bd_14#prev_2021|0-24|mother|13152|11984|1
no|bd_14#prev_2021|0-24|no_relative|13152|444|
no|bd_14#prev_2021|25-64|child|15195|545|0.99
no|bd_14#prev_2021|25-64|no_relative|15195|757|
no|bd_14#prev_2021|25-64|parent|15195|6617|0.99
no|bd_14#prev_2021|25-64|partner|15195|2100|0.99
no|bd_14#prev_2021|25-64|pooled|15195|14438|0.97
no|bd_14#prev_2021|25-64|sibling|15195|5176|0.93
no|bd_14#prev_2021|65+|child|1866|179|1
no|bd_14#prev_2021|65+|no_relative|1866|1277|
no|bd_14#prev_2021|65+|partner|1866|97|1
no|bd_14#prev_2021|65+|pooled|1866|589|0.96
no|bd_14#prev_2021|65+|sibling|1866|313|0.92
no|bd_15#inc_2016_2021|0-24|father|471|393|1
no|bd_15#inc_2016_2021|0-24|mother|471|405|1
no|bd_15#inc_2016_2021|0-24|no_relative|471|37|
no|bd_15#inc_2016_2021|25-64|child|3500|358|1
no|bd_15#inc_2016_2021|25-64|no_relative|3500|106|
no|bd_15#inc_2016_2021|25-64|parent|3500|519|0.99
no|bd_15#inc_2016_2021|25-64|partner|3500|2223|0.99
no|bd_15#inc_2016_2021|25-64|pooled|3500|3394|0.99
no|bd_15#inc_2016_2021|25-64|sibling|3500|294|0.93
no|bd_15#inc_2016_2021|65+|child|367|112|1
no|bd_15#inc_2016_2021|65+|no_relative|367|28|
no|bd_15#inc_2016_2021|65+|partner|367|217|0.99
no|bd_15#inc_2016_2021|65+|pooled|367|339|0.99
no|bd_15#inc_2016_2021|65+|sibling|367|10|0.9
no|bd_15#prev_2021|0-24|father|267|227|1
no|bd_15#prev_2021|0-24|mother|267|238|1
no|bd_15#prev_2021|0-24|no_relative|267|14|
no|bd_15#prev_2021|25-64|child|12259|1632|1
no|bd_15#prev_2021|25-64|no_relative|12259|224|
no|bd_15#prev_2021|25-64|parent|12259|1663|0.99
no|bd_15#prev_2021|25-64|partner|12259|7559|0.99
no|bd_15#prev_2021|25-64|pooled|12259|12035|0.99
no|bd_15#prev_2021|25-64|sibling|12259|1181|0.96
no|bd_15#prev_2021|65+|child|3784|1170|1
no|bd_15#prev_2021|65+|no_relative|3784|315|
no|bd_15#prev_2021|65+|partner|3784|2167|0.99
no|bd_15#prev_2021|65+|pooled|3784|3469|0.99
no|bd_15#prev_2021|65+|sibling|3784|132|0.88
no|bd_16#inc_2016_2021|0-24|father|518|384|1
no|bd_16#inc_2016_2021|0-24|mother|518|406|1
no|bd_16#inc_2016_2021|0-24|no_relative|518|58|
no|bd_16#inc_2016_2021|25-64|child|1544|197|1
no|bd_16#inc_2016_2021|25-64|no_relative|1544|47|
no|bd_16#inc_2016_2021|25-64|parent|1544|198|1
no|bd_16#inc_2016_2021|25-64|partner|1544|942|0.99
no|bd_16#inc_2016_2021|25-64|pooled|1544|1497|0.99
no|bd_16#inc_2016_2021|25-64|sibling|1544|160|0.94
no|bd_16#inc_2016_2021|65+|child|1106|346|1
no|bd_16#inc_2016_2021|65+|no_relative|1106|103|
no|bd_16#inc_2016_2021|65+|partner|1106|641|0.99
