additional_relative_req|var_pop|agegroup|__var|__label|__stat_char|__stat_num2|__stat_num3|__stat_num1
no|bd_00#inc_2016_2021|0-24|__n|__n|109,589 (100.0)|100||109589
no|bd_00#inc_2016_2021|0-24|male|male|51,639 (47.1)|47.1206051702269||51639
no|bd_00#inc_2016_2021|0-24|cci_g|cci_g: title||||
no|bd_00#inc_2016_2021|0-24|cci_g|cci_g: +3|149 (0.1)|0.13596255098595||149
no|bd_00#inc_2016_2021|0-24|cci_g|cci_g: 0|102,546 (93.6)|93.5732600899725||102546
no|bd_00#inc_2016_2021|0-24|cci_g|cci_g: 1-2|6,894 (6.3)|6.29077735904151||6894
no|bd_00#inc_2016_2021|0-24|age_index|age_index|15.8 (10.0;20.2)|10.0027397260273|20.1753424657534|15.759562842
no|bd_00#inc_2016_2021|0-24|education_level|education_level: title||||
no|bd_00#inc_2016_2021|0-24|education_level|education_level: long_education|1,795 (1.6)|1.63793811422679||1795
no|bd_00#inc_2016_2021|0-24|education_level|education_level: medium_education|16,640 (15.2)|15.1840056940021||16640
no|bd_00#inc_2016_2021|0-24|education_level|education_level: no_education|40,218 (36.7)|36.698938762102||40218
no|bd_00#inc_2016_2021|0-24|education_level|education_level: short_education|50,936 (46.5)|46.479117429669||50936
no|bd_00#inc_2016_2021|25-64|__n|__n|208,796 (100.0)|100||208796
no|bd_00#inc_2016_2021|25-64|male|male|100,143 (48.0)|47.9621257112205||100143
no|bd_00#inc_2016_2021|25-64|cci_g|cci_g: title||||
no|bd_00#inc_2016_2021|25-64|cci_g|cci_g: +3|4,541 (2.2)|2.17485009291365||4541
no|bd_00#inc_2016_2021|25-64|cci_g|cci_g: 0|178,960 (85.7)|85.7104542232609||178960
no|bd_00#inc_2016_2021|25-64|cci_g|cci_g: 1-2|25,295 (12.1)|12.1146956838253||25295
no|bd_00#inc_2016_2021|25-64|age_index|age_index|45.1 (34.2;54.3)|34.2164383561643|54.2886443596077|45.11385957
no|bd_00#inc_2016_2021|25-64|education_level|education_level: title||||
no|bd_00#inc_2016_2021|25-64|education_level|education_level: long_education|66,724 (32.0)|31.9565508917795||66724
no|bd_00#inc_2016_2021|25-64|education_level|education_level: medium_education|92,648 (44.4)|44.3724975574244||92648
no|bd_00#inc_2016_2021|25-64|education_level|education_level: no_education|9,726 (4.7)|4.65813521331826||9726
no|bd_00#inc_2016_2021|25-64|education_level|education_level: short_education|39,698 (19.0)|19.0128163374777||39698
no|bd_00#inc_2016_2021|65+|__n|__n|109,161 (100.0)|100||109161
no|bd_00#inc_2016_2021|65+|male|male|56,885 (52.1)|52.1111019503302||56885
no|bd_00#inc_2016_2021|65+|cci_g|cci_g: title||||
no|bd_00#inc_2016_2021|65+|cci_g|cci_g: +3|15,892 (14.6)|14.5583129505959||15892
no|bd_00#inc_2016_2021|65+|cci_g|cci_g: 0|57,472 (52.6)|52.6488397871034||57472
no|bd_00#inc_2016_2021|65+|cci_g|cci_g: 1-2|35,797 (32.8)|32.7928472623006||35797
no|bd_00#inc_2016_2021|65+|age_index|age_index|76.1 (71.2;82.2)|71.158904109589|82.1616438356164|76.147945205
no|bd_00#inc_2016_2021|65+|education_level|education_level: title||||
no|bd_00#inc_2016_2021|65+|education_level|education_level: long_education|17,997 (16.5)|16.4866573226701||17997
no|bd_00#inc_2016_2021|65+|education_level|education_level: medium_education|47,974 (43.9)|43.9479301215635||47974
no|bd_00#inc_2016_2021|65+|education_level|education_level: no_education|7,080 (6.5)|6.48583285239234||7080
no|bd_00#inc_2016_2021|65+|education_level|education_level: short_education|36,110 (33.1)|33.0795797033739||36110
no|bd_00#prev_2021|0-24|__n|__n|173,183 (100.0)|100||173183
no|bd_00#prev_2021|0-24|male|male|92,598 (53.5)|53.4682965418083||92598
no|bd_00#prev_2021|0-24|cci_g|cci_g: title||||
