additional_relative_req|var_pop|agegroup|closest_relative_group|n_agegroup|closest_relative_group_n|has_control_closest_rel_prop
no|bd_00#inc_2016_2021|0-24|father|163160|83170|1
no|bd_00#inc_2016_2021|0-24|mother|163160|67073|1
no|bd_00#inc_2016_2021|0-24|no_relative|163160|53586|
no|bd_00#inc_2016_2021|25-64|child|233847|55787|0.99
no|bd_00#inc_2016_2021|25-64|no_relative|233847|24582|
no|bd_00#inc_2016_2021|25-64|parent|233847|32686|0.99
no|bd_00#inc_2016_2021|25-64|partner|233847|90209|0.99
no|bd_00#inc_2016_2021|25-64|pooled|233847|209265|0.99
no|bd_00#inc_2016_2021|25-64|sibling|233847|30583|0.99
no|bd_00#inc_2016_2021|65+|child|146681|66397|0.99
no|bd_00#inc_2016_2021|65+|no_relative|146681|38588|
no|bd_00#inc_2016_2021|65+|partner|146681|41696|0.99
no|bd_00#inc_2016_2021|65+|pooled|146681|108093|0.99
no|bd_00#prev_2021|0-24|father|262984|131137|1
no|bd_00#prev_2021|0-24|mother|262984|100582|1
no|bd_00#prev_2021|0-24|no_relative|262984|89814|
no|bd_00#prev_2021|25-64|child|1103632|290917|0.99
no|bd_00#prev_2021|25-64|no_relative|1103632|107800|
no|bd_00#prev_2021|25-64|parent|1103632|167219|0.99
no|bd_00#prev_2021|25-64|partner|1103632|365434|0.99
no|bd_00#prev_2021|25-64|pooled|1103632|995832|0.99
no|bd_00#prev_2021|25-64|sibling|1103632|172262|0.99
no|bd_00#prev_2021|65+|child|566845|246350|0.99
no|bd_00#prev_2021|65+|no_relative|566845|171819|
no|bd_00#prev_2021|65+|partner|566845|148676|0.99
no|bd_00#prev_2021|65+|pooled|566845|395026|0.99
no|bd_01#inc_2016_2021|0-24|father|3309|2264|1
no|bd_01#inc_2016_2021|0-24|mother|3309|2767|1
no|bd_01#inc_2016_2021|0-24|no_relative|3309|308|
no|bd_01#inc_2016_2021|25-64|child|30453|5455|0.99
no|bd_01#inc_2016_2021|25-64|no_relative|30453|1518|
no|bd_01#inc_2016_2021|25-64|parent|30453|5178|0.99
no|bd_01#inc_2016_2021|25-64|partner|30453|13934|0.99
no|bd_01#inc_2016_2021|25-64|pooled|30453|28935|0.99
no|bd_01#inc_2016_2021|25-64|sibling|30453|4368|0.96
no|bd_01#inc_2016_2021|65+|child|12154|5050|1
no|bd_01#inc_2016_2021|65+|no_relative|12154|1929|
no|bd_01#inc_2016_2021|65+|partner|12154|5175|0.99
no|bd_01#inc_2016_2021|65+|pooled|12154|10225|0.99
no|bd_01#prev_2021|0-24|father|2319|1527|1
no|bd_01#prev_2021|0-24|mother|2319|1807|1
no|bd_01#prev_2021|0-24|no_relative|2319|297|
no|bd_01#prev_2021|25-64|child|100970|21978|0.99
no|bd_01#prev_2021|25-64|no_relative|100970|4044|
no|bd_01#prev_2021|25-64|parent|100970|18870|0.99
no|bd_01#prev_2021|25-64|partner|100970|36747|0.99
no|bd_01#prev_2021|25-64|pooled|100970|96926|0.99
no|bd_01#prev_2021|25-64|sibling|100970|19331|0.97
no|bd_01#prev_2021|65+|child|48369|21213|1
no|bd_01#prev_2021|65+|no_relative|48369|8628|
no|bd_01#prev_2021|65+|partner|48369|18528|0.99
no|bd_01#prev_2021|65+|pooled|48369|39741|0.99
no|bd_02#inc_2016_2021|0-24|father|31219|24599|1
no|bd_02#inc_2016_2021|0-24|mother|31219|23853|1
no|bd_02#inc_2016_2021|0-24|no_relative|31219|2585|
no|bd_02#inc_2016_2021|25-64|child|59259|9379|0.99
no|bd_02#inc_2016_2021|25-64|no_relative|59259|2913|
no|bd_02#inc_2016_2021|25-64|parent|59259|11190|0.99
no|bd_02#inc_2016_2021|25-64|partner|59259|28223|0.99
no|bd_02#inc_2016_2021|25-64|pooled|59259|56346|0.99
no|bd_02#inc_2016_2021|25-64|sibling|59259|7554|0.97
no|bd_02#inc_2016_2021|65+|child|22199|10514|1
no|bd_02#inc_2016_2021|65+|no_relative|22199|3054|
no|bd_02#inc_2016_2021|65+|partner|22199|8631|0.99
no|bd_02#inc_2016_2021|65+|pooled|22199|19145|0.99
no|bd_02#prev_2021|0-24|father|29299|23186|1
no|bd_02#prev_2021|0-24|mother|29299|22222|1
no|bd_02#prev_2021|0-24|no_relative|29299|2210|
no|bd_02#prev_2021|25-64|child|209296|36427|0.99
no|bd_02#prev_2021|25-64|no_relative|209296|6016|
no|bd_02#prev_2021|25-64|parent|209296|41454|0.99
no|bd_02#prev_2021|25-64|partner|209296|96630|0.99
no|bd_02#prev_2021|25-64|pooled|209296|203280|0.99
no|bd_02#prev_2021|25-64|sibling|209296|28769|0.97
no|bd_02#prev_2021|65+|child|67137|28767|1
no|bd_02#prev_2021|65+|no_relative|67137|10138|
no|bd_02#prev_2021|65+|partner|67137|28232|0.99
no|bd_02#prev_2021|65+|pooled|67137|56999|0.99
no|bd_03#inc_2016_2021|0-24|father|2167|1713|1
no|bd_03#inc_2016_2021|0-24|mother|2167|1823|1
no|bd_03#inc_2016_2021|0-24|no_relative|2167|163|
no|bd_03#inc_2016_2021|25-64|child|7144|1050|0.99
no|bd_03#inc_2016_2021|25-64|no_relative|7144|304|
no|bd_03#inc_2016_2021|25-64|parent|7144|1592|1
no|bd_03#inc_2016_2021|25-64|partner|7144|3186|0.99
no|bd_03#inc_2016_2021|25-64|pooled|7144|6840|0.98
no|bd_03#inc_2016_2021|25-64|sibling|7144|1012|0.94
no|bd_03#inc_2016_2021|65+|child|1281|470|1
no|bd_03#inc_2016_2021|65+|no_relative|1281|201|
no|bd_03#inc_2016_2021|65+|partner|1281|610|0.99
no|bd_03#inc_2016_2021|65+|pooled|1281|1080|0.99
no|bd_03#prev_2021|0-24|father|1434|1140|1
no|bd_03#prev_2021|0-24|mother|1434|1188|1
no|bd_03#prev_2021|0-24|no_relative|1434|78|
no|bd_03#prev_2021|25-64|child|24123|4205|0.99
no|bd_03#prev_2021|25-64|no_relative|24123|718|
no|bd_03#prev_2021|25-64|parent|24123|5407|0.99
no|bd_03#prev_2021|25-64|partner|24123|9904|0.99
no|bd_03#prev_2021|25-64|pooled|24123|23405|0.99
no|bd_03#prev_2021|25-64|sibling|24123|3889|0.95
no|bd_03#prev_2021|65+|child|9241|3968|1
no|bd_03#prev_2021|65+|no_relative|9241|1515|
no|bd_03#prev_2021|65+|partner|9241|3758|0.99
no|bd_03#prev_2021|65+|pooled|9241|7726|0.99
no|bd_04#inc_2016_2021|0-24|father|591|471|1
no|bd_04#inc_2016_2021|0-24|mother|591|501|1
no|bd_04#inc_2016_2021|0-24|no_relative|591|64|
no|bd_04#inc_2016_2021|25-64|child|5582|854|1
no|bd_04#inc_2016_2021|25-64|no_relative|5582|161|
no|bd_04#inc_2016_2021|25-64|parent|5582|526|0.99
no|bd_04#inc_2016_2021|25-64|partner|5582|3552|0.99
no|bd_04#inc_2016_2021|25-64|pooled|5582|5421|0.99
no|bd_04#inc_2016_2021|25-64|sibling|5582|489|0.97
no|bd_04#inc_2016_2021|65+|child|6532|2679|1
no|bd_04#inc_2016_2021|65+|no_relative|6532|723|
no|bd_04#inc_2016_2021|65+|partner|6532|3130|0.99
no|bd_04#inc_2016_2021|65+|pooled|6532|5809|0.99
no|bd_04#prev_2021|0-24|father|877|739|1
no|bd_04#prev_2021|0-24|mother|877|780|1
no|bd_04#prev_2021|0-24|no_relative|877|54|
no|bd_04#prev_2021|25-64|child|8370|1182|1
no|bd_04#prev_2021|25-64|no_relative|8370|165|
no|bd_04#prev_2021|25-64|parent|8370|1029|0.99
no|bd_04#prev_2021|25-64|partner|8370|5198|0.99
no|bd_04#prev_2021|25-64|pooled|8370|8205|0.99
no|bd_04#prev_2021|25-64|sibling|8370|796|0.97
no|bd_04#prev_2021|65+|child|9492|3341|1
no|bd_04#prev_2021|65+|no_relative|9492|836|
no|bd_04#prev_2021|65+|partner|9492|5315|0.99
no|bd_04#prev_2021|65+|pooled|9492|8656|0.99
no|bd_05#inc_2016_2021|0-24|father|1214|873|1
no|bd_05#inc_2016_2021|0-24|mother|1214|923|1
no|bd_05#inc_2016_2021|0-24|no_relative|1214|224|
no|bd_05#inc_2016_2021|25-64|child|572|58|1
no|bd_05#inc_2016_2021|25-64|no_relative|572|35|
no|bd_05#inc_2016_2021|25-64|parent|572|155|1
no|bd_05#inc_2016_2021|25-64|partner|572|182|1
no|bd_05#inc_2016_2021|25-64|pooled|572|537|0.98
no|bd_05#inc_2016_2021|25-64|sibling|572|142|0.95
no|bd_05#inc_2016_2021|65+|child|339|124|1
no|bd_05#inc_2016_2021|65+|no_relative|339|95|
no|bd_05#inc_2016_2021|65+|partner|339|120|1
no|bd_05#inc_2016_2021|65+|pooled|339|244|1
no|bd_05#prev_2021|0-24|father|4702|4061|1
no|bd_05#prev_2021|0-24|mother|4702|4249|1
no|bd_05#prev_2021|0-24|no_relative|4702|194|
no|bd_05#prev_2021|25-64|child|3707|162|0.99
no|bd_05#prev_2021|25-64|no_relative|3707|126|
no|bd_05#prev_2021|25-64|parent|3707|1661|0.99
no|bd_05#prev_2021|25-64|partner|3707|674|0.99
no|bd_05#prev_2021|25-64|pooled|3707|3581|0.97
no|bd_05#prev_2021|25-64|sibling|3707|1084|0.92
no|bd_05#prev_2021|65+|child|718|192|1
no|bd_05#prev_2021|65+|no_relative|718|314|
no|bd_05#prev_2021|65+|partner|718|212|1
no|bd_05#prev_2021|65+|pooled|718|404|1
no|bd_06#inc_2016_2021|0-24|father|33||
no|bd_06#inc_2016_2021|0-24|mother|33||
no|bd_06#inc_2016_2021|0-24|no_relative|33||
no|bd_06#inc_2016_2021|25-64|child|3055|564|1
no|bd_06#inc_2016_2021|25-64|no_relative|3055|174|
no|bd_06#inc_2016_2021|25-64|parent|3055|263|1
no|bd_06#inc_2016_2021|25-64|partner|3055|1498|0.99
no|bd_06#inc_2016_2021|25-64|pooled|3055|2881|0.99
no|bd_06#inc_2016_2021|25-64|sibling|3055|556|0.99
no|bd_06#inc_2016_2021|65+|child|49243|22503|1
no|bd_06#inc_2016_2021|65+|no_relative|49243|6204|
no|bd_06#inc_2016_2021|65+|partner|49243|20536|0.99
no|bd_06#inc_2016_2021|65+|pooled|49243|43039|0.99
no|bd_06#prev_2021|0-24|father|69||
no|bd_06#prev_2021|0-24|mother|69||
no|bd_06#prev_2021|0-24|no_relative|69||
no|bd_06#prev_2021|25-64|child|3525|691|1
no|bd_06#prev_2021|25-64|no_relative|3525|221|
no|bd_06#prev_2021|25-64|parent|3525|405|0.99
no|bd_06#prev_2021|25-64|partner|3525|1423|0.99
no|bd_06#prev_2021|25-64|pooled|3525|3304|0.99
no|bd_06#prev_2021|25-64|sibling|3525|785|0.98
no|bd_06#prev_2021|65+|child|39540|20719|1
no|bd_06#prev_2021|65+|no_relative|39540|5248|
no|bd_06#prev_2021|65+|partner|39540|13573|0.99
no|bd_06#prev_2021|65+|pooled|39540|34292|0.99
no|bd_07#inc_2016_2021|0-24|father|35182|23140|1
no|bd_07#inc_2016_2021|0-24|mother|35182|20475|1
no|bd_07#inc_2016_2021|0-24|no_relative|35182|6558|
no|bd_07#inc_2016_2021|25-64|child|94037|19024|0.99
no|bd_07#inc_2016_2021|25-64|no_relative|94037|6353|
no|bd_07#inc_2016_2021|25-64|parent|94037|15310|0.99
no|bd_07#inc_2016_2021|25-64|partner|94037|41183|0.99
no|bd_07#inc_2016_2021|25-64|pooled|94037|87684|0.99
no|bd_07#inc_2016_2021|25-64|sibling|94037|12167|0.99
no|bd_07#inc_2016_2021|65+|child|62987|30596|1
no|bd_07#inc_2016_2021|65+|no_relative|62987|10804|
no|bd_07#inc_2016_2021|65+|partner|62987|21587|0.99
no|bd_07#inc_2016_2021|65+|pooled|62987|52183|0.99
no|bd_07#prev_2021|0-24|father|29108|18831|1
no|bd_07#prev_2021|0-24|mother|29108|16253|1
no|bd_07#prev_2021|0-24|no_relative|29108|5519|
no|bd_07#prev_2021|25-64|child|491154|119717|0.99
no|bd_07#prev_2021|25-64|no_relative|491154|21252|
no|bd_07#prev_2021|25-64|parent|491154|82003|0.99
no|bd_07#prev_2021|25-64|partner|491154|199086|0.99
no|bd_07#prev_2021|25-64|pooled|491154|469902|0.99
no|bd_07#prev_2021|25-64|sibling|491154|69096|0.99
no|bd_07#prev_2021|65+|child|223742|102856|0.99
no|bd_07#prev_2021|65+|no_relative|223742|42777|
no|bd_07#prev_2021|65+|partner|223742|78109|0.99
no|bd_07#prev_2021|65+|pooled|223742|180965|0.99
no|bd_08#inc_2016_2021|0-24|father|60667|49390|1
no|bd_08#inc_2016_2021|0-24|mother|60667|51687|1
no|bd_08#inc_2016_2021|0-24|no_relative|60667|3599|
no|bd_08#inc_2016_2021|25-64|child|24563|2819|0.99
no|bd_08#inc_2016_2021|25-64|no_relative|24563|847|
no|bd_08#inc_2016_2021|25-64|parent|24563|7432|0.99
no|bd_08#inc_2016_2021|25-64|partner|24563|9691|0.99
no|bd_08#inc_2016_2021|25-64|pooled|24563|23716|0.98
no|bd_08#inc_2016_2021|25-64|sibling|24563|3774|0.9
no|bd_08#inc_2016_2021|65+|child|924|385|1
no|bd_08#inc_2016_2021|65+|no_relative|924|174|
no|bd_08#inc_2016_2021|65+|partner|924|365|0.99
no|bd_08#inc_2016_2021|65+|pooled|924|750|0.99
no|bd_08#prev_2021|0-24|father|103684|83499|1
no|bd_08#prev_2021|0-24|mother|103684|87349|1
no|bd_08#prev_2021|0-24|no_relative|103684|5636|
no|bd_08#prev_2021|25-64|child|82932|8286|0.99
no|bd_08#prev_2021|25-64|no_relative|82932|1528|
no|bd_08#prev_2021|25-64|parent|82932|30175|0.99
no|bd_08#prev_2021|25-64|partner|82932|27512|0.99
no|bd_08#prev_2021|25-64|pooled|82932|81404|0.98
no|bd_08#prev_2021|25-64|sibling|82932|15431|0.91
no|bd_08#prev_2021|65+|child|2222|760|1
no|bd_08#prev_2021|65+|no_relative|2222|624|
no|bd_08#prev_2021|65+|partner|2222|838|0.99
no|bd_08#prev_2021|65+|pooled|2222|1598|0.99
no|bd_09#inc_2016_2021|0-24|father|8283|6372|1
no|bd_09#inc_2016_2021|0-24|mother|8283|7294|1
no|bd_09#inc_2016_2021|0-24|no_relative|8283|530|
no|bd_09#inc_2016_2021|25-64|child|9611|1323|0.99
no|bd_09#inc_2016_2021|25-64|no_relative|9611|569|
no|bd_09#inc_2016_2021|25-64|parent|9611|3264|0.99
no|bd_09#inc_2016_2021|25-64|partner|9611|2233|0.99
no|bd_09#inc_2016_2021|25-64|pooled|9611|9042|0.97
no|bd_09#inc_2016_2021|25-64|sibling|9611|2222|0.91
no|bd_09#inc_2016_2021|65+|child|1099|521|1
no|bd_09#inc_2016_2021|65+|no_relative|1099|182|
no|bd_09#inc_2016_2021|65+|partner|1099|396|1
no|bd_09#inc_2016_2021|65+|pooled|1099|917|1
no|bd_09#prev_2021|0-24|father|6767|5187|1
no|bd_09#prev_2021|0-24|mother|6767|5991|1
no|bd_09#prev_2021|0-24|no_relative|6767|387|
no|bd_09#prev_2021|25-64|child|43103|6623|0.99
no|bd_09#prev_2021|25-64|no_relative|43103|1604|
no|bd_09#prev_2021|25-64|parent|43103|14222|0.99
no|bd_09#prev_2021|25-64|partner|43103|10220|0.99
no|bd_09#prev_2021|25-64|pooled|43103|41499|0.97
no|bd_09#prev_2021|25-64|sibling|43103|10434|0.92
no|bd_09#prev_2021|65+|child|4034|2012|1
no|bd_09#prev_2021|65+|no_relative|4034|872|
no|bd_09#prev_2021|65+|partner|4034|1150|0.98
no|bd_09#prev_2021|65+|pooled|4034|3162|0.99
no|bd_10#inc_2016_2021|0-24|father|5098|4481|1
no|bd_10#inc_2016_2021|0-24|mother|5098|4686|1
no|bd_10#inc_2016_2021|0-24|no_relative|5098|205|
no|bd_10#inc_2016_2021|25-64|child|1372|135|1
no|bd_10#inc_2016_2021|25-64|no_relative|1372|60|
no|bd_10#inc_2016_2021|25-64|parent|1372|441|1
no|bd_10#inc_2016_2021|25-64|partner|1372|513|0.99
no|bd_10#inc_2016_2021|25-64|pooled|1372|1312|0.98
no|bd_10#inc_2016_2021|25-64|sibling|1372|223|0.91
no|bd_10#inc_2016_2021|65+|child|25||
no|bd_10#inc_2016_2021|65+|no_relative|25||
no|bd_10#inc_2016_2021|65+|partner|25||
no|bd_10#inc_2016_2021|65+|pooled|25||
no|bd_10#prev_2021|0-24|father|5748|5073|1
no|bd_10#prev_2021|0-24|mother|5748|5324|1
no|bd_10#prev_2021|0-24|no_relative|5748|202|
no|bd_10#prev_2021|25-64|child|11904|1206|1
no|bd_10#prev_2021|25-64|no_relative|11904|126|
no|bd_10#prev_2021|25-64|parent|11904|3059|1
no|bd_10#prev_2021|25-64|partner|11904|5929|0.99
no|bd_10#prev_2021|25-64|pooled|11904|11778|0.98
no|bd_10#prev_2021|25-64|sibling|11904|1584|0.92
